0+9.2353e-07i -1.1093e-14-5.684e-24i
5.3231e-07 4.7285e-14-1.0699e-23i
6.6987e-07 2.1483e-14-3.6834e-24i
1.3111 0.21137
2.0933 1.4929
2.2026 1.8117
2.3043 1.331
2.4281 0.81139
2.5865 0.89696
2.745 0.96394
2.9541 0.37071
3.0962 0.78047
3.2205 1.6392
3.2886 1.9712
3.3177 1.8449
3.4707 1.3983
3.5821 1.661
3.6701 2.9998
3.7254 2.9219
3.7787 2.3055
3.8148 1.3352
3.9028 2.1135
3.9906 3.2158
4.041 3.0329
4.1124 1.7105
4.193 2.2071
4.2254 2.8494
4.2682 1.9556
4.3976 0.83837
4.5295 1.5614
4.5843 2.5239
4.5952 1.406
4.6712 1.8225
4.7217 2.5241
4.763 4.1891
4.8023 3.8464
4.8318 1.6311
4.886 1.7229
4.963 1.2864
5.0465 1.7701
5.1183 3.2847
5.1458 3.3018
5.2014 1.6886
5.2686 2.0712
5.2869 1.7575
5.3212 1.9941
5.4029 1.6708
5.4924 5.2032
5.5028 6.6785
5.5652 2.4315
5.5874 2.0247
5.6234 1.8141
5.7112 2.396
5.7396 3.5278
5.7686 2.9018
5.8144 2.2854
5.8826 2.5302
5.8959 2.5716
5.9683 2.6375
5.9941 3.7692
6.0323 3.4771
6.0768 2.8168
6.1102 1.7765
6.1905 2.8619
6.2152 4.5536
6.2736 3.8359
6.3017 1.4832
6.4158 2.2457
6.4175 2.2582
6.4985 1.6518
6.5525 1.6931
6.5968 2.3776
6.6354 3.6498
6.6526 3.3592
6.6879 3.3325
6.7875 1.2397
6.8619 3.827
6.8761 3.4878
6.8951 2.5112
6.9233 2.2315
6.9747 2.4596
7.0154 3.1473
7.0285 3.1533
7.0987 2.6317
7.1232 3.4618
7.1487 1.7286
7.188 5.6641
7.2056 6.6284
7.2548 2.398
7.3073 1.7977
7.3508 1.4444
7.3767 2.712
7.4228 3.2815
7.4342 3.4483
7.5078 1.7399
7.5339 2.2361
7.5638 1.7332
7.6419 1.7442
7.6945 1.7223
7.7207 1.9512
7.737 2.1982
7.7823 3.4072
7.7932 2.5476
7.8351 2.3293
7.8657 1.5755
7.8981 1.2945
7.957 2.362
7.9642 2.4329
7.9888 3.763
8.0508 3.4909
8.0718 3.7468
8.1147 3.8208
8.1517 2.7987
8.1623 2.9876
8.2168 2.4856
8.2822 2.3024
8.3085 2.3678
8.3247 2.363
8.3337 1.8102
8.3825 3.0457
8.4171 2.8497
8.457 2.2123
8.5007 3.1952
8.5286 1.818
8.5571 2.4995
8.5763 4.2488
8.607 3.7371
8.6876 2.0022
8.7102 2.6682
8.7335 2.3313
8.745 3.6058
8.8013 3.0327
8.8293 4.6768
8.8664 4.2994
8.9111 2.915
8.915 2.3489
8.9464 2.8757
8.9716 3.0524
9.0414 1.9878
9.0741 1.9903
9.115 2.7127
9.1265 6.1534
9.1502 6.4692
9.1698 4.0459
9.2276 2.3386
9.2444 2.892
9.3026 2.0522
9.3259 2.331
9.3443 2.7944
9.3472 2.7637
9.3989 3.4056
9.4365 4.0867
9.4633 3.4347
9.504 4.8084
9.5241 4.3073
9.541 3.6308
9.5422 2.8364
9.5892 2.5253
9.6405 2.335
9.6826 4.1788
9.6939 4.4891
9.7221 2.358
9.7616 1.8131
9.8028 1.8402
9.8212 3.1547
9.8563 3.3333
9.8721 3.6531
9.9236 2.4976
9.9628 2.0161
9.9788 2.6941
10.004 2.663
10.052 2.7987
10.084 2.6836
10.104 2.5868
10.109 2.7451
10.122 3.6479
10.168 3.3421
10.216 3.1632
10.246 2.7977
10.261 2.9291
10.289 3.3408
10.304 1.8561
10.347 2.1964
10.373 2.0025
10.429 1.8936
10.483 2.5212
10.495 2.7295
10.575 2.9829
10.579 3.4112
10.585 1.7843
10.61 2.9951
10.619 2.7693
10.665 2.379
10.681 3.3799
10.712 4.8828
10.736 2.8213
10.753 4.4387
10.779 1.6207
10.844 1.6804
10.863 1.7506
10.894 1.3885
10.914 2.8975
10.947 2.2834
10.981 3.1386
10.991 3.0456
11.04 1.8232
11.074 2.8704
11.103 2.207
11.145 1.5801
11.164 2.2279
11.204 2.4672
11.236 2.0107
11.257 3.0136
11.281 3.769
11.302 4.6701
11.335 3.3614
11.359 2.4262
11.38 3.0914
11.385 3.4511
11.418 3.8456
11.457 3.0077
11.49 2.2975
11.525 3.0118
11.54 3.983
11.558 3.6163
11.624 1.6339
11.661 2.8646
11.677 2.5607
11.682 2.0834
11.713 3.1205
11.742 2.4392
11.785 3.3269
11.791 2.788
11.815 2.149
11.856 2.0052
11.869 2.0786
11.935 1.7062
11.971 1.6128
12 2.4548
12.017 2.5914
12.067 2.394
12.078 2.0137
12.097 2.6884
12.118 1.9521
12.186 1.8962
12.221 3.387
12.25 3.7644
12.282 3.3675
12.291 3.3093
12.319 2.5784
12.33 2.0889
12.365 1.9795
12.401 2.7233
12.438 3.7336
12.471 7.4946
12.473 4.2104
12.51 3.2618
12.539 2.2638
12.55 2.8889
12.577 4.3645
12.617 2.902
12.641 2.4192
12.665 3.2954
12.695 3.1979
12.735 1.7367
12.759 3.2976
12.786 3.2257
12.828 3.8941
12.867 6.0319
12.874 5.925
12.908 3.9676
12.915 3.9297
12.955 2.5919
12.975 1.932
13.003 2.3775
13.024 2.6361
13.093 1.8453
13.109 1.8096
13.122 2.5302
13.161 2.7744
13.181 2.5388
13.231 1.6533
13.265 2.8807
13.322 3.4462
13.327 4.3381
13.34 3.8936
13.347 4.2435
13.37 3.6714
13.43 1.7434
13.454 2.3468
13.484 2.2676
13.511 2.6486
13.553 3.031
13.569 2.9873
13.59 2.4364
13.644 3.0646
13.654 3.1268
13.668 3.5177
13.702 2.7587
13.704 3.9953
13.747 2.4389
13.757 2.8873
13.806 2.3435
13.844 3.3526
13.865 2.9992
13.9 2.1379
13.927 2.953
13.958 1.804
13.971 2.2141
14.021 2.8903
14.031 2.4203
14.067 2.5866
14.082 1.88
14.116 3.2374
14.147 3.5288
14.161 3.6594
14.181 3.5271
14.206 4.6603
14.221 3.8984
14.238 2.5014
14.279 1.9309
14.326 2.2741
14.333 1.9901
14.348 2.1496
14.412 2.5564
14.427 2.5741
14.466 2.3812
14.473 1.9334
14.492 2.2665
14.531 1.9074
14.541 1.4562
14.592 2.2849
14.6 1.9766
14.642 2.2436
14.675 3.5635
14.701 2.9081
14.719 3.7871
14.737 2.468
14.779 2.7199
14.789 3.1899
14.828 2.2543
14.845 1.7091
14.902 5.771
14.927 4.831
14.935 4.3439
14.967 2.0364
14.984 2.3317
15.005 1.9712
15.034 2.0453
15.063 1.8191
15.114 1.7614
15.153 1.9311
15.185 2.4081
15.217 1.4585
15.246 2.3213
15.283 2.0808
15.329 3.4422
15.355 2.1233
15.38 3.7998
15.412 2.5139
15.429 3.4611
15.459 2.7928
15.508 2.1734
15.515 2.9972
15.549 2.5741
15.556 2.655
15.586 2.6033
15.615 2.3228
15.632 2.7164
15.649 2.3542
15.702 2.7331
15.706 3.8616
15.735 3.3151
15.793 2.8288
15.795 2.1156
15.84 2.9462
15.848 3.2317
15.869 4.0091
15.92 1.7714
15.947 1.6054
16.015 1.7481
16.063 1.6065
16.094 1.9358
16.104 2.3845
16.121 2.6429
16.169 2.3707
16.179 2.3437
16.211 3.2956
16.224 2.8721
16.252 2.1327
16.275 3.0528
16.299 2.6819
16.335 2.3381
16.336 3.4286
16.397 3.782
16.421 2.8523
16.468 3.3799
16.485 2.4469
16.499 2.4285
16.586 1.8058
16.615 3.1988
16.635 3.9909
16.646 3.463
16.669 3.0964
16.679 3.977
16.709 2.979
16.742 1.767
16.775 2.6027
16.81 2.1989
16.865 3.1091
16.871 2.8758
16.889 2.3127
16.927 2.4627
16.94 2.9113
16.962 3.2275
16.986 3.0429
17.044 3.6773
17.056 3.3503
17.093 2.0959
17.117 2.2884
17.129 1.7306
17.163 2.3958
17.202 2.4892
17.242 2.8108
17.258 2.2422
17.297 5.3869
17.316 3.52
